Symbol,Price,Shares,Avg Cost/Share,Day's Gain,Day's Gain (%),Total Gain,Total Gain (%),Yield (%),Market Value,Change,Change (%),Day Low,Day High,52wk Low,52wk High,Market Cap,Volume,Avg Volume,Mkt Time
TTD,33.81,1860.0,50.17198924731183,-18055.016609,-0.0749658,-123529.383232,-0.35669375999999997,0.0,222788.370156,-2.74,-0.0749657,33.43,36.38,33.43,125.8,1.653115904E10,24620977,1.2718716E7,1769461200000
RGTI,21.76,966.2,29.891256468640034,-5784.797172,-0.07206823,-30821.214603,-0.29268588,0.0,74483.540545,-1.69,-0.0720683,21.41,23.775,6.86,58.15,7.181367808E9,29937914,4.1391188E7,1769461201000
ABSI,2.89,700.0,3.77,-49.5978,-0.006872850000000001,-2316.654452,-0.24428169,0.0,7166.882466,-0.02,-0.006872850000000001,2.87,2.95,2.01,6.33,4.3457376E8,2625409,4070883.0,1769461202000
JD,29.78,870.0,31.07965517241379,-184.9274,-0.00201071,-7155.440926,-0.07231967,0.0336,91786.40069,-0.0599995,-0.00201071,29.49,30.015,28.21,46.445,4.3937595392E10,7009428,1.0399368E7,1769461202000
LI,16.94,800.0,17.15,651.859651,0.01376427,-1850.961585,-0.03712196,0.0,48010.672622,0.230001,0.0137643,16.79,17.0999,15.71,33.12,1.7165036544E10,2753582,4389715.0,1769461200000
KMB,101.14,386.0,97.77559585492229,-1490.555666,-0.01066223,1620.479074,0.01185543,0.049800000000000004,138307.150914,-1.09,-0.0106623,100.22,102.97,96.26,150.45,3.3567670272E10,8797305,6623831.0,1769461201000
CE,47.53,300.0,41.8,10.626314,2.104E-4,4867.625727,0.10663456,0.0025,50515.358748,0.00999832,2.10402E-4,47.01,47.94,35.13,75.3,5.204767744E9,1213115,2222273.0,1769461202000
PAGS,11.33,1500.0,8.92,1859.917496,0.03187614,9068.502759,0.17732809,0.0124,60208.186983,0.35,0.0318762,10.97,11.4301,6.7,11.4301,3.306904576E9,2315164,4216391.0,1769461202000
ATGE,118.2,120.0,95.0,-1309.381907,-0.02539578,8312.819048,0.19822236000000001,0.0,50249.656244,-3.08,-0.0253958,117.06,121.82,86.26,156.26,4.294351872E9,360415,602228.0,1769461202000
ENPH,39.42,400.0,29.8,-56.684477,-0.0010137100000000001,12011.54627,0.27392510999999997,0.0,55861.291829,-0.0400009,-0.0010137100000000001,38.6,40.36,25.78,70.78,5.1584896E9,5669295,7168958.0,1769461202000
MOH,201.05,78.0,149.5779487179487,-232.116597,-0.00416066,12804.67928,0.29951353000000003,0.0,55556.268793,-0.839996,-0.00416066,199.273,202.96,133.4,359.97,1.0896910336E10,1312404,1564250.0,1769461202000
