Symbol,Price,Shares,Avg Cost/Share,Day's Gain,Day's Gain (%),Total Gain,Total Gain (%),Yield (%),Market Value,Change,Change (%),Day Low,Day High,52wk Low,52wk High,Market Cap,Volume,Avg Volume,Mkt Time
TTD,32.25,1860.0,50.17198924731183,-10167.505755,-0.046140230000000004,-136124.309831,-0.39306189,0.0,210193.443557,-1.5600014,-0.046140230000000004,31.93,33.57,31.93,125.8,1.5768408064E10,8688225,1.2915844E7,1769532920000
RGTI,21.88,966.2,29.891256468640034,357.184809,0.00484831,-31275.575292,-0.2970006,0.0,74029.179855,0.11999893,0.005514656999999999,21.4,22.145,6.86,58.15,7.220970496E9,10413362,4.1205959E7,1769532910000
ABSI,2.965,700.0,3.77,183.964787,0.02595149,-2210.777403,-0.23311738999999998,0.0,7272.759514,0.07499981,0.02595149,2.87,2.99,2.01,6.33,4.45851584E8,759212,4047865.0,1769532867000
JD,29.175,870.0,31.07965517241379,-1844.387499,-0.0203157,-9999.899578,-0.10106846000000001,0.0336,88941.942039,-0.60500145,-0.020315697,29.04,29.3086,28.21,46.445,4.3044970496E10,4150117,1.0344081E7,1769532918000
LI,16.605,800.0,17.15,-939.101603,-0.01977574,-3313.16997,-0.06644728,0.0,46548.464237,-0.335001,-0.019775736,16.5309,16.85,15.71,33.12,1.682558464E10,1009809,4362993.0,1769532911000
KMB,101.3,386.0,97.77559585492229,324.616942,0.00237293,438.151733,0.00320552,0.049800000000000004,137124.823572,0.16000366,0.0015820017,100.37,103.1,96.26,150.45,3.3620774912E10,4245225,6659600.0,1769532907000
CE,47.52,300.0,41.8,-10.510536,-2.1035999999999998E-4,4306.718262,0.09434682,0.0025,49954.451283,-0.0099983215,-2.1035813E-4,47.17,48.06,35.13,75.3,5.203672576E9,441488,2210298.0,1769532848000
ATGE,116.79,90.0,95.0,-444.66905,-0.0119289,5379.318788,0.17102923,0.0,36831.946685,-1.409996,-0.011904728,116.74,118.83,86.26,156.26,4.243124992E9,76476,599606.0,1769532897000
MOH,189.67,78.0,149.5779487179487,-3070.748194,-0.05588161999999999,9128.61024,0.2135268,0.0,51880.199752,-11.380005,-0.056602860000000005,184.0,195.7,133.4,359.97,1.0280114176E10,1546430,1560260.0,1769532904000
PAGS,11.98,1500.0,8.92,3442.776929,0.0578111,11855.273237,0.2318214,0.0124,62994.957461,0.6499996,0.057369779999999995,11.5,12.1,6.7,12.1,3.496621056E9,2656480,4188050.0,1769532913000
ENPH,40.18,300.0,29.8,840.987228,0.02029435,9393.163731,0.28561667,0.0,42280.4729,0.76000214,0.019279609,38.61,40.25,25.78,70.78,5.25794304E9,2364186,7144611.0,1769532903000
